origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Brasil,Brasileirão B,2025,RODADA 4,22/04/2025,20:00,Volta Redonda,Ferroviária,Volta_Redonda_vs_Ferroviaria_22/04/2025,Partida Encerrada,,0.0,0.0,Volta Redonda x Ferroviária,22/04/2025 20:00:00,22/04/2025,12,3,2,1,0,0,6,2,3,4,2,1,10,19,,
Brasil,Brasileirão B,2025,RODADA 21,09/08/2025,17:00,Volta Redonda,Novorizontino,Volta_Redonda_vs_Novorizontino_09/08/2025,Partida não Iniciada,,,,Volta Redonda x Novorizontino,09/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 14,29/06/2025,16:00,Volta Redonda,Operário,Volta_Redonda_vs_Operario_29/06/2025,Partida não Iniciada,,,,Volta Redonda x Operário,29/06/2025 16:00:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 6,03/05/2025,20:30,Volta Redonda,Paysandu,Volta_Redonda_vs_Paysandu_03/05/2025,Partida Encerrada,,1.0,0.0,Volta Redonda x Paysandu,03/05/2025 20:30:00,03/05/2025,25,12,7,0,1,0,8,3,3,3,1,2,12,12,,
Brasil,Brasileirão B,2025,RODADA 19,26/07/2025,17:00,Volta Redonda,Vila Nova,Volta_Redonda_vs_Vila_Nova_26/07/2025,Partida não Iniciada,,,,Volta Redonda x Vila Nova,26/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Países baixos,Eredivisie,2024/2025,RODADA 34,18/05/2025,09:30,Waalwijk,G.A. Eagles,Waalwijk_vs_GA_Eagles_18/05/2025,Partida Encerrada,,5.0,3.0,Waalwijk x G.A. Eagles,18/05/2025 09:30:00,18/05/2025,20,29,9,7,3,7,4,11,1,1,0,0,8,6,,
Países baixos,Eredivisie,2024/2025,RODADA 32,10/05/2025,11:30,Waalwijk,Heerenveen,Waalwijk_vs_Heerenveen_10/05/2025,Partida Encerrada,,3.0,1.0,Waalwijk x Heerenveen,10/05/2025 11:30:00,10/05/2025,18,3,6,1,4,1,5,2,2,1,2,1,10,11,0,1
Países baixos,Eredivisie,2024/2025,RODADA 30,25/04/2025,13:45,Waalwijk,Utrecht,Waalwijk_vs_Utrecht_25/04/2025,Partida Encerrada,,0.0,4.0,Waalwijk x Utrecht,25/04/2025 13:45:00,25/04/2025,13,20,2,9,1,3,5,5,1,2,1,0,8,10,,
Inglaterra,Championship,2024/2025,RODADA 43,18/04/2025,11:00,Watford,Burnley,Watford_vs_Burnley_18/04/2025,Partida Encerrada,,1.0,2.0,Watford x Burnley,18/04/2025 11:00:00,18/04/2025,11,16,5,7,2,5,4,1,,,2,4,17,3,,
Inglaterra,Championship,2024/2025,RODADA 41,08/04/2025,15:45,Watford,Hull,Watford_vs_Hull_08/04/2025,Partida Encerrada,,1.0,0.0,Watford x Hull,08/04/2025 15:45:00,08/04/2025,9,16,2,5,1,1,7,3,3,0,2,3,7,6,,
Inglaterra,Championship,2024/2025,RODADA 36,08/03/2025,09:30,Watford,Millwall,Watford_vs_Millwall_08/03/2025,Partida Encerrada,,1.0,2.0,Watford x Millwall,08/03/2025 09:30:00,08/03/2025,14,11,5,4,1,2,11,4,0,1,3,2,7,7,,
Inglaterra,Championship,2024/2025,RODADA 39,29/03/2025,09:30,Watford,Plymouth,Watford_vs_Plymouth_29/03/2025,Partida Encerrada,,0.0,0.0,Watford x Plymouth,29/03/2025 09:30:00,29/03/2025,16,7,1,1,3,1,14,5,1,3,3,2,11,10,,
Inglaterra,Championship,2024/2025,RODADA 46,03/05/2025,08:30,Watford,Sheffield Wednesday,Watford_vs_Sheffield_Wednesday_03/05/2025,Partida Encerrada,,1.0,1.0,Watford x Sheffield Wednesday,03/05/2025 08:30:00,03/05/2025,18,7,5,2,1,2,8,2,0,1,1,3,15,12,,
Inglaterra,Championship,2024/2025,RODADA 37,12/03/2025,16:45,Watford,Swansea,Watford_vs_Swansea_12/03/2025,Partida Encerrada,,1.0,0.0,Watford x Swansea,12/03/2025 16:45:00,12/03/2025,9,12,2,3,2,1,1,6,3,2,1,5,16,3,,
Inglaterra,Championship,2024/2025,RODADA 44,21/04/2025,11:00,West Bromwich,Derby,West_Bromwich_vs_Derby_21/04/2025,Partida Encerrada,,1.0,3.0,West Bromwich x Derby,21/04/2025 11:00:00,21/04/2025,13,5,2,4,2,2,4,3,1,2,0,3,10,12,,
Inglaterra,Championship,2024/2025,RODADA 38,15/03/2025,12:00,West Bromwich,Hull,West_Bromwich_vs_Hull_15/03/2025,Partida Encerrada,,1.0,1.0,West Bromwich x Hull,15/03/2025 12:00:00,15/03/2025,16,7,3,4,1,3,6,5,1,5,3,2,6,14,,
Inglaterra,Championship,2024/2025,RODADA 46,03/05/2025,08:30,West Bromwich,Luton,West_Bromwich_vs_Luton_03/05/2025,Partida Encerrada,,5.0,3.0,West Bromwich x Luton,03/05/2025 08:30:00,03/05/2025,19,12,5,4,4,1,6,4,2,2,2,1,9,22,,
Inglaterra,Championship,2024/2025,RODADA 36,08/03/2025,12:00,West Bromwich,QPR,West_Bromwich_vs_QPR_08/03/2025,Partida Encerrada,,1.0,0.0,West Bromwich x QPR,08/03/2025 12:00:00,08/03/2025,2,10,1,1,1,1,3,4,4,4,1,0,13,14,1,0
Inglaterra,Championship,2024/2025,RODADA 40,05/04/2025,08:30,West Bromwich,Sunderland,West_Bromwich_vs_Sunderland_05/04/2025,Partida Encerrada,,0.0,1.0,West Bromwich x Sunderland,05/04/2025 08:30:00,05/04/2025,21,7,3,3,1,1,6,6,2,3,1,3,15,14,,
Inglaterra,Championship,2024/2025,RODADA 42,12/04/2025,11:00,West Bromwich,Watford,West_Bromwich_vs_Watford_12/04/2025,Partida Encerrada,,2.0,1.0,West Bromwich x Watford,12/04/2025 11:00:00,12/04/2025,10,15,5,3,4,1,3,6,4,2,2,4,10,12,,
Inglaterra,Premier League,2024/2025,RODADA 31,05/04/2025,11:00,West Ham,Bournemouth,West_Ham_vs_Bournemouth_05/04/2025,Partida Encerrada,,2.0,2.0,West Ham x Bournemouth,05/04/2025 11:00:00,05/04/2025,9,11,3,4,1,2,4,7,2,2,4,1,13,13,,
Inglaterra,Premier League,2024/2025,RODADA 25,15/02/2025,12:00,West Ham,Brentford,West_Ham_vs_Brentford_15/02/2025,Partida Encerrada,,0.0,1.0,West Ham x Brentford,15/02/2025 12:00:00,15/02/2025,13,14,3,5,0,2,9,2,1,1,2,4,10,13,,
Inglaterra,Premier League,2024/2025,RODADA 27,27/02/2025,17:00,West Ham,Leicester,West_Ham_vs_Leicester_27/02/2025,Partida Encerrada,,2.0,0.0,West Ham x Leicester,27/02/2025 17:00:00,27/02/2025,8,10,2,2,3,0,3,3,,,1,0,12,6,,
Inglaterra,Premier League,2024/2025,RODADA 28,10/03/2025,17:00,West Ham,Newcastle,West_Ham_vs_Newcastle_10/03/2025,Partida Encerrada,,0.0,1.0,West Ham x Newcastle,10/03/2025 17:00:00,10/03/2025,9,9,2,3,1,2,3,4,0,1,1,1,7,15,,
Inglaterra,Premier League,2024/2025,RODADA 37,18/05/2025,10:15,West Ham,Nottingham,West_Ham_vs_Nottingham_18/05/2025,Partida Encerrada,,1.0,2.0,West Ham x Nottingham,18/05/2025 10:15:00,18/05/2025,16,10,5,5,0,5,8,7,6,3,0,2,14,7,,
Inglaterra,Premier League,2024/2025,RODADA 33,19/04/2025,11:00,West Ham,Southampton,West_Ham_vs_Southampton_19/04/2025,Partida Encerrada,,1.0,1.0,West Ham x Southampton,19/04/2025 11:00:00,19/04/2025,12,15,4,4,0,1,2,5,2,1,1,1,14,13,,
Inglaterra,Premier League,2024/2025,RODADA 35,04/05/2025,10:00,West Ham,Tottenham,West_Ham_vs_Tottenham_04/05/2025,Partida Encerrada,,1.0,1.0,West Ham x Tottenham,04/05/2025 10:00:00,04/05/2025,11,7,2,2,2,2,1,3,2,2,3,4,18,15,,
Países baixos,Eredivisie,2024/2025,SEMIFINAIS,24/05/2025,15:00,Willem II,Dordrecht,Willem_II_vs_Dordrecht_24/05/2025,Partida Encerrada,,4.0,2.0,Willem II x Dordrecht,24/05/2025 15:00:00,24/05/2025,16,11,8,5,2,1,9,9,2,0,1,1,15,20,,
Países baixos,Eredivisie,2024/2025,RODADA 32,09/05/2025,15:00,Willem II,Heracles,Willem_II_vs_Heracles_09/05/2025,Partida Encerrada,,1.0,2.0,Willem II x Heracles,09/05/2025 15:00:00,09/05/2025,9,16,5,6,2,3,5,10,1,1,2,1,6,11,,
Países baixos,Eredivisie,2024/2025,FINAL,01/06/2025,13:00,Willem II,Telstar,Willem_II_vs_Telstar_01/06/2025,Partida não Iniciada,,,,Willem II x Telstar,01/06/2025 13:00:00,,,,,,,,,,,,,,,,,
Países baixos,Eredivisie,2024/2025,RODADA 33,14/05/2025,15:00,Willem II,Zwolle,Willem_II_vs_Zwolle_14/05/2025,Partida Encerrada,,1.0,2.0,Willem II x Zwolle,14/05/2025 15:00:00,14/05/2025,15,16,3,6,2,0,3,8,2,2,3,1,11,8,,
Suíça,Superliga,2024/2025,RODADA 29,30/03/2025,09:15,Winterthur,Basel,Winterthur_vs_Basel_30/03/2025,Partida Encerrada,,0.0,2.0,Winterthur x Basel,30/03/2025 09:15:00,30/03/2025,7,19,4,8,0,3,2,3,,,1,2,15,9,,
Suíça,Superliga,2024/2025,RODADA 34,03/05/2025,13:00,Winterthur,Grasshoppers,Winterthur_vs_Grasshoppers_03/05/2025,Partida Encerrada,,2.0,0.0,Winterthur x Grasshoppers,03/05/2025 13:00:00,03/05/2025,13,12,4,2,3,1,3,6,2,0,2,4,12,11,,
Suíça,Superliga,2024/2025,RODADA 32,12/04/2025,13:00,Winterthur,Lausanne,Winterthur_vs_Lausanne_12/04/2025,Partida Encerrada,,1.0,0.0,Winterthur x Lausanne,12/04/2025 13:00:00,12/04/2025,8,19,1,2,0,0,4,4,1,0,2,0,12,11,,
