origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Itália,Serie A,2024/2025,RODADA 33,20/04/2025,15:45,AC Milan,Atalanta,AC_Milan_vs_Atalanta_20/04/2025,Partida Encerrada,,0.0,1.0,AC Milan x Atalanta,20/04/2025 15:45:00,20/04/2025,12,11,1,2,0,2,7,5,,,2,1,8,7,,
Itália,Serie A,2024/2025,RODADA 36,09/05/2025,15:45,AC Milan,Bologna,AC_Milan_vs_Bologna_09/05/2025,Partida Encerrada,,3.0,1.0,AC Milan x Bologna,09/05/2025 15:45:00,09/05/2025,10,10,5,4,3,0,3,4,2,2,1,2,5,14,,
Itália,Serie A,2024/2025,RODADA 29,15/03/2025,14:00,AC Milan,Como,AC_Milan_vs_Como_15/03/2025,Partida Encerrada,,2.0,1.0,AC Milan x Como,15/03/2025 14:00:00,15/03/2025,9,15,3,6,3,2,0,5,3,3,0,2,21,7,0,1
Europa,UEFA,2024/2025,RODADA 6,11/12/2024,17:00,AC Milan,Crvena zvezda,AC_Milan_vs_Crvena_zvezda_11/12/2024,Partida Encerrada,,2.0,1.0,AC Milan x Crvena zvezda,11/12/2024 17:00:00,11/12/2024,20,9,10,4,4,1,6,4,3,3,1,2,18,11,,
Europa,UEFA,2024/2025,16 AVOS DE FINAL,18/02/2025,14:45,AC Milan,Feyenoord,AC_Milan_vs_Feyenoord_18/02/2025,Partida Encerrada,,1.0,1.0,AC Milan x Feyenoord,18/02/2025 14:45:00,18/02/2025,18,6,7,1,1,2,4,3,4,2,0,1,11,10,1,1
Itália,Serie A,2024/2025,RODADA 31,05/04/2025,15:45,AC Milan,Fiorentina,AC_Milan_vs_Fiorentina_05/04/2025,Partida Encerrada,,2.0,2.0,AC Milan x Fiorentina,05/04/2025 15:45:00,05/04/2025,19,15,6,8,3,6,7,4,4,3,2,4,12,12,,
Europa,UEFA,2024/2025,RODADA 7,22/01/2025,17:00,AC Milan,Girona,AC_Milan_vs_Girona_22/01/2025,Partida Encerrada,,1.0,0.0,AC Milan x Girona,22/01/2025 17:00:00,22/01/2025,17,11,5,4,2,3,6,3,2,2,1,3,12,18,,
Itália,Serie A,2024/2025,RODADA 27,02/03/2025,16:45,AC Milan,Lazio,AC_Milan_vs_Lazio_02/03/2025,Partida Encerrada,,1.0,2.0,AC Milan x Lazio,02/03/2025 16:45:00,02/03/2025,15,21,4,8,1,3,3,5,2,1,0,1,14,6,1,0
Itália,Serie A,2024/2025,RODADA 38,24/05/2025,15:45,AC Milan,Monza,AC_Milan_vs_Monza_24/05/2025,Partida Encerrada,,2.0,0.0,AC Milan x Monza,24/05/2025 15:45:00,24/05/2025,21,6,6,2,3,1,4,6,,,0,6,8,9,,
Portugal,Liga Portugal,2024/2025,RODADA 32,05/05/2025,16:15,AFS,Boavista,AFS_vs_Boavista_05/05/2025,Partida Encerrada,,1.0,2.0,AFS x Boavista,05/05/2025 16:15:00,05/05/2025,13,14,5,3,4,1,4,5,4,2,2,1,21,12,,
Portugal,Liga Portugal,2024/2025,RODADA 34,17/05/2025,14:00,AFS,Moreirense,AFS_vs_Moreirense_17/05/2025,Partida Encerrada,,0.0,3.0,AFS x Moreirense,17/05/2025 14:00:00,17/05/2025,8,19,3,11,0,1,2,4,7,3,2,2,24,10,1,0
Portugal,Liga Portugal,2024/2025,FINAL,24/05/2025,15:45,AFS,Vizela,AFS_vs_Vizela_24/05/2025,Partida Encerrada,,3.0,0.0,AFS x Vizela,24/05/2025 15:45:00,24/05/2025,12,15,5,3,4,0,3,7,2,4,0,3,13,14,,
Suécia,Allsvenskan,2025,RODADA 23,15/09/2025,14:00,AIK Stockholm,Brommapojkarna,AIK_Stockholm_vs_Brommapojkarna_15/09/2025,Partida não Iniciada,,,,AIK Stockholm x Brommapojkarna,15/09/2025 14:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 15,13/07/2025,11:30,AIK Stockholm,Degerfors,AIK_Stockholm_vs_Degerfors_13/07/2025,Partida não Iniciada,,,,AIK Stockholm x Degerfors,13/07/2025 11:30:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 19,10/08/2025,09:00,AIK Stockholm,Djurgarden,AIK_Stockholm_vs_Djurgarden_10/08/2025,Partida não Iniciada,,,,AIK Stockholm x Djurgarden,10/08/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 6,27/04/2025,11:00,AIK Stockholm,Elfsborg,AIK_Stockholm_vs_Elfsborg_27/04/2025,Partida Encerrada,,2.0,0.0,AIK Stockholm x Elfsborg,27/04/2025 11:00:00,27/04/2025,15,11,6,3,2,1,2,4,2,0,0,0,17,11,,
Suécia,Allsvenskan,2025,RODADA 13,29/06/2025,09:00,AIK Stockholm,Göteborg,AIK_Stockholm_vs_Goteborg_29/06/2025,Partida não Iniciada,,,,AIK Stockholm x Göteborg,29/06/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 10,18/05/2025,09:00,AIK Stockholm,Hammarby,AIK_Stockholm_vs_Hammarby_18/05/2025,Partida Encerrada,,0.0,0.0,AIK Stockholm x Hammarby,18/05/2025 09:00:00,18/05/2025,15,9,2,2,2,1,7,4,3,3,0,2,12,11,,
Suécia,Allsvenskan,2025,RODADA 3,14/04/2025,14:10,AIK Stockholm,Malmö FF,AIK_Stockholm_vs_Malmo_FF_14/04/2025,Partida Encerrada,,0.0,0.0,AIK Stockholm x Malmö FF,14/04/2025 14:10:00,14/04/2025,14,8,3,1,1,1,5,5,1,2,4,1,9,9,,
Suécia,Allsvenskan,2025,RODADA 8,11/05/2025,09:00,AIK Stockholm,Mjallby,AIK_Stockholm_vs_Mjallby_11/05/2025,Partida Encerrada,,2.0,1.0,AIK Stockholm x Mjallby,11/05/2025 09:00:00,11/05/2025,12,14,6,4,2,3,7,6,2,2,2,1,11,8,,
Suécia,Allsvenskan,2025,RODADA 2,06/04/2025,09:00,AIK Stockholm,Norrkoping,AIK_Stockholm_vs_Norrkoping_06/04/2025,Partida Encerrada,,4.0,3.0,AIK Stockholm x Norrkoping,06/04/2025 09:00:00,06/04/2025,15,11,5,4,3,2,4,1,1,2,3,3,14,13,,
Suécia,Allsvenskan,2025,RODADA 17,27/07/2025,09:00,AIK Stockholm,Öster,AIK_Stockholm_vs_Oster_27/07/2025,Partida não Iniciada,,,,AIK Stockholm x Öster,27/07/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 22,31/08/2025,09:00,AIK Stockholm,Sirius,AIK_Stockholm_vs_Sirius_31/08/2025,Partida não Iniciada,,,,AIK Stockholm x Sirius,31/08/2025 09:00:00,,,,,,,,,,,,,,,,,
Itália,Serie A,2024/2025,RODADA 37,18/05/2025,15:45,AS Roma,AC Milan,AS_Roma_vs_AC_Milan_18/05/2025,Partida Encerrada,,3.0,1.0,AS Roma x AC Milan,18/05/2025 15:45:00,18/05/2025,15,12,6,3,2,4,4,2,3,2,0,0,12,16,0,1
Itália,Serie A,2024/2025,RODADA 29,16/03/2025,12:00,AS Roma,Cagliari,AS_Roma_vs_Cagliari_16/03/2025,Partida Encerrada,,1.0,0.0,AS Roma x Cagliari,16/03/2025 12:00:00,16/03/2025,13,11,1,5,2,2,8,3,0,2,0,1,4,12,,
Itália,Serie A,2024/2025,RODADA 27,02/03/2025,14:00,AS Roma,Como,AS_Roma_vs_Como_02/03/2025,Partida Encerrada,,2.0,1.0,AS Roma x Como,02/03/2025 14:00:00,02/03/2025,11,10,4,3,2,3,1,2,2,7,1,3,6,18,0,1
Itália,Serie A,2024/2025,RODADA 35,04/05/2025,13:00,AS Roma,Fiorentina,AS_Roma_vs_Fiorentina_04/05/2025,Partida Encerrada,,1.0,0.0,AS Roma x Fiorentina,04/05/2025 13:00:00,04/05/2025,12,13,4,5,1,1,7,4,,,0,2,9,8,,
Itália,Serie A,2024/2025,RODADA 31,06/04/2025,15:45,AS Roma,Juventus,AS_Roma_vs_Juventus_06/04/2025,Partida Encerrada,,1.0,1.0,AS Roma x Juventus,06/04/2025 15:45:00,06/04/2025,11,11,4,7,3,2,4,4,1,1,0,1,11,15,,
Itália,Serie A,2024/2025,RODADA 26,24/02/2025,16:45,AS Roma,Monza,AS_Roma_vs_Monza_24/02/2025,Partida Encerrada,,4.0,0.0,AS Roma x Monza,24/02/2025 16:45:00,24/02/2025,23,5,6,2,3,0,6,3,0,1,0,0,6,7,,
Itália,Serie A,2024/2025,RODADA 33,19/04/2025,15:45,AS Roma,Verona,AS_Roma_vs_Verona_19/04/2025,Partida Encerrada,,1.0,0.0,AS Roma x Verona,19/04/2025 15:45:00,19/04/2025,6,8,3,2,2,0,4,6,0,2,0,3,5,17,,
Dinamarca,Superliga,2024/2025,RODADA 20,02/03/2025,14:00,Aalborg,FC Copenhagen,Aalborg_vs_FC_Copenhagen_02/03/2025,Partida Encerrada,,0.0,0.0,Aalborg x FC Copenhagen,02/03/2025 14:00:00,02/03/2025,6,12,1,1,2,2,2,8,1,0,0,2,12,4,,
Dinamarca,Superliga,2024/2025,RODADA 25,11/04/2025,14:00,Aalborg,Lyngby,Aalborg_vs_Lyngby_11/04/2025,Partida Encerrada,,2.0,2.0,Aalborg x Lyngby,11/04/2025 14:00:00,11/04/2025,12,13,6,6,6,2,4,4,0,1,1,1,5,12,,
Dinamarca,Superliga,2024/2025,RODADA 21,09/03/2025,10:00,Aalborg,Midtjylland,Aalborg_vs_Midtjylland_09/03/2025,Partida Encerrada,,1.0,4.0,Aalborg x Midtjylland,09/03/2025 10:00:00,09/03/2025,10,28,4,11,1,2,8,7,2,0,3,2,11,7,,
Dinamarca,Superliga,2024/2025,RODADA 18,26/02/2025,15:30,Aalborg,Nordsjaelland,Aalborg_vs_Nordsjaelland_26/02/2025,Partida Encerrada,,1.0,2.0,Aalborg x Nordsjaelland,26/02/2025 15:30:00,26/02/2025,13,15,2,6,4,4,5,2,2,2,1,0,11,10,,
Dinamarca,Superliga,2024/2025,RODADA 12,20/10/2024,09:00,Aalborg,Randers,Aalborg_vs_Randers_20/10/2024,Partida Encerrada,,0.0,2.0,Aalborg x Randers,20/10/2024 09:00:00,20/10/2024,23,11,6,5,,,6,1,4,3,0,2,10,12,,
Dinamarca,Superliga,2024/2025,RODADA 31,18/05/2025,09:00,Aalborg,Silkeborg,Aalborg_vs_Silkeborg_18/05/2025,Partida Encerrada,,2.0,3.0,Aalborg x Silkeborg,18/05/2025 09:00:00,18/05/2025,5,13,1,5,1,2,1,8,2,1,2,0,6,7,,
Dinamarca,Superliga,2024/2025,RODADA 27,20/04/2025,12:00,Aalborg,Sonderjyske,Aalborg_vs_Sonderjyske_20/04/2025,Partida Encerrada,,2.0,3.0,Aalborg x Sonderjyske,20/04/2025 12:00:00,20/04/2025,16,13,3,8,1,4,9,6,1,2,0,2,9,14,,
Dinamarca,Superliga,2024/2025,RODADA 14,03/11/2024,14:00,Aalborg,Vejle,Aalborg_vs_Vejle_03/11/2024,Partida Encerrada,,3.0,3.0,Aalborg x Vejle,03/11/2024 14:00:00,03/11/2024,15,14,8,8,,,7,5,1,1,1,3,10,15,,
,,,,,,,,Aalborg_vs_Vejle_28/04/2025,,,,,,,28/04/2025,15,5,3,2,1,1,5,8,1,1,2,1,10,12,,
Dinamarca,Superliga,2024/2025,RODADA 16,24/11/2024,10:00,Aalborg,Viborg,Aalborg_vs_Viborg_24/11/2024,Partida Encerrada,,0.0,0.0,Aalborg x Viborg,24/11/2024 10:00:00,24/11/2024,10,20,2,4,0,1,0,11,2,4,2,2,10,14,,
Dinamarca,Superliga,2024/2025,RODADA 23,28/03/2025,15:00,Aalborg,Viborg,Aalborg_vs_Viborg_28/03/2025,Partida Encerrada,,0.0,4.0,Aalborg x Viborg,28/03/2025 15:00:00,28/03/2025,14,15,2,5,1,4,6,6,3,2,2,0,17,12,,
Suíça,Superliga,2024/2025,FINAL,30/05/2025,15:30,Aarau,Grasshoppers,Aarau_vs_Grasshoppers_30/05/2025,Partida não Iniciada,ProximaRodada,,,Aarau x Grasshoppers,30/05/2025 15:30:00,,,,,,,,,,,,,,,,,
Dinamarca,Superliga,2024/2025,RODADA 19,23/02/2025,10:00,Aarhus,Aalborg,Aarhus_vs_Aalborg_23/02/2025,Partida Encerrada,,4.0,0.0,Aarhus x Aalborg,23/02/2025 10:00:00,23/02/2025,23,2,10,2,4,1,7,2,,,1,0,13,6,,
Dinamarca,Superliga,2024/2025,RODADA 12,21/10/2024,14:00,Aarhus,Brondby,Aarhus_vs_Brondby_21/10/2024,Partida Encerrada,,1.0,0.0,Aarhus x Brondby,21/10/2024 14:00:00,21/10/2024,14,8,5,1,,,6,4,3,3,2,1,11,13,1,0
Dinamarca,Superliga,2024/2025,RODADA 32,25/05/2025,12:00,Aarhus,Brondby,Aarhus_vs_Brondby_25/05/2025,Partida Encerrada,,2.0,3.0,Aarhus x Brondby,25/05/2025 12:00:00,25/05/2025,19,13,9,8,3,5,6,3,0,3,0,0,8,8,,
Dinamarca,Superliga,2024/2025,RODADA 15,10/11/2024,14:00,Aarhus,FC Copenhagen,Aarhus_vs_FC_Copenhagen_10/11/2024,Partida Encerrada,,1.0,1.0,Aarhus x FC Copenhagen,10/11/2024 14:00:00,10/11/2024,20,8,7,6,,,9,5,,,0,1,8,15,,
Dinamarca,Superliga,2024/2025,RODADA 28,27/04/2025,11:00,Aarhus,FC Copenhagen,Aarhus_vs_FC_Copenhagen_27/04/2025,Partida Encerrada,,1.0,3.0,Aarhus x FC Copenhagen,27/04/2025 11:00:00,,,,,,,,,,,,,,,,,
Dinamarca,Superliga,2024/2025,RODADA 14,03/11/2024,12:00,Aarhus,Lyngby,Aarhus_vs_Lyngby_03/11/2024,Partida Encerrada,,2.0,1.0,Aarhus x Lyngby,03/11/2024 12:00:00,03/11/2024,18,6,8,3,,,7,3,0,7,2,0,10,18,0,1
Dinamarca,Superliga,2024/2025,RODADA 25,13/04/2025,11:00,Aarhus,Midtjylland,Aarhus_vs_Midtjylland_13/04/2025,Partida Encerrada,,1.0,1.0,Aarhus x Midtjylland,13/04/2025 11:00:00,13/04/2025,8,13,3,7,2,4,3,10,1,3,0,1,9,11,,
Dinamarca,Superliga,2024/2025,RODADA 23,30/03/2025,11:00,Aarhus,Nordsjaelland,Aarhus_vs_Nordsjaelland_30/03/2025,Partida Encerrada,,2.0,0.0,Aarhus x Nordsjaelland,30/03/2025 11:00:00,30/03/2025,16,11,7,3,2,2,4,4,3,1,0,1,6,9,0,1
Dinamarca,Superliga,2024/2025,RODADA 30,11/05/2025,11:00,Aarhus,Randers,Aarhus_vs_Randers_11/05/2025,Partida Encerrada,,1.0,3.0,Aarhus x Randers,11/05/2025 11:00:00,11/05/2025,17,8,9,3,5,3,4,5,,,0,0,11,13,,
Dinamarca,Superliga,2024/2025,RODADA 21,09/03/2025,12:00,Aarhus,Viborg,Aarhus_vs_Viborg_09/03/2025,Partida Encerrada,,1.0,1.0,Aarhus x Viborg,09/03/2025 12:00:00,09/03/2025,23,6,8,1,3,0,8,1,3,2,0,2,20,8,0,1
Turquia,Super Lig,2024/2025,RODADA 24,14/02/2025,14:00,Adana Demirspor,Antalyaspor,Adana_Demirspor_vs_Antalyaspor_14/02/2025,Partida Encerrada,,1.0,1.0,Adana Demirspor x Antalyaspor,14/02/2025 14:00:00,14/02/2025,5,17,3,8,2,9,0,9,3,6,3,7,19,12,,
Turquia,Super Lig,2024/2025,RODADA 26,01/03/2025,10:00,Adana Demirspor,Bodrumspor,Adana_Demirspor_vs_Bodrumspor_01/03/2025,Partida Encerrada,,0.0,0.0,Adana Demirspor x Bodrumspor,01/03/2025 10:00:00,01/03/2025,11,13,1,4,0,5,3,6,,,0,3,9,12,,
Turquia,Super Lig,2024/2025,RODADA 38,31/05/2025,13:00,Adana Demirspor,Gaziantep,Adana_Demirspor_vs_Gaziantep_31/05/2025,Partida não Iniciada,,,,Adana Demirspor x Gaziantep,31/05/2025 13:00:00,,,,,,,,,,,,,,,,,
Turquia,Super Lig,2024/2025,RODADA 34,04/05/2025,13:00,Adana Demirspor,Goztepe,Adana_Demirspor_vs_Goztepe_04/05/2025,Partida Encerrada,,1.0,2.0,Adana Demirspor x Goztepe,04/05/2025 13:00:00,04/05/2025,12,15,3,6,1,6,3,4,3,3,1,1,8,26,,
Turquia,Super Lig,2024/2025,RODADA 36,17/05/2025,13:00,Adana Demirspor,Hatayspor,Adana_Demirspor_vs_Hatayspor_17/05/2025,Partida Encerrada,,0.0,5.0,Adana Demirspor x Hatayspor,17/05/2025 13:00:00,17/05/2025,15,16,5,8,2,5,5,6,2,3,0,4,9,10,,
Turquia,Super Lig,2024/2025,RODADA 30,04/04/2025,14:00,Adana Demirspor,Kayserispor,Adana_Demirspor_vs_Kayserispor_04/04/2025,Partida Encerrada,,0.0,2.0,Adana Demirspor x Kayserispor,04/04/2025 14:00:00,04/04/2025,12,10,3,7,0,2,7,7,3,3,0,4,10,14,0,1
Turquia,Super Lig,2024/2025,RODADA 32,19/04/2025,10:00,Adana Demirspor,Trabzonspor,Adana_Demirspor_vs_Trabzonspor_19/04/2025,Partida Encerrada,,0.0,1.0,Adana Demirspor x Trabzonspor,19/04/2025 10:00:00,19/04/2025,6,9,1,3,1,3,2,4,1,0,1,6,9,12,,
Países baixos,Eredivisie,2024/2025,RODADA 32,11/05/2025,11:45,Ajax,Nijmegen,Ajax_vs_Nijmegen_11/05/2025,Partida Encerrada,,0.0,3.0,Ajax x Nijmegen,11/05/2025 11:45:00,11/05/2025,22,9,4,6,4,2,8,1,3,4,1,1,12,12,,
Países baixos,Eredivisie,2024/2025,RODADA 30,27/04/2025,09:30,Ajax,Sparta Rotterdam,Ajax_vs_Sparta_Rotterdam_27/04/2025,Partida Encerrada,,1.0,1.0,Ajax x Sparta Rotterdam,27/04/2025 09:30:00,27/04/2025,27,13,5,5,4,2,11,4,1,2,1,1,10,12,,
Países baixos,Eredivisie,2024/2025,RODADA 34,18/05/2025,09:30,Ajax,Twente,Ajax_vs_Twente_18/05/2025,Partida Encerrada,,2.0,0.0,Ajax x Twente,18/05/2025 09:30:00,18/05/2025,11,7,3,3,4,0,4,6,0,2,4,0,10,17,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 33,22/05/2025,15:00,Al-Ahli,Al-Ettifaq,Al-Ahli_vs_Al-Ettifaq_22/05/2025,Partida Encerrada,,1.0,3.0,Al-Ahli x Al-Ettifaq,22/05/2025 15:00:00,22/05/2025,13,13,4,8,3,3,5,3,1,1,5,1,12,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 19,07/02/2025,14:00,Al-Ahli,Al-Fateh,Al-Ahli_vs_Al-Fateh_07/02/2025,Partida Encerrada,,2.0,0.0,Al-Ahli x Al-Fateh,07/02/2025 14:00:00,07/02/2025,17,16,6,6,4,1,5,5,5,3,3,1,13,15,1,1
Arábia saudita,Liga Saudita,2024/2025,RODADA 28,18/04/2025,13:20,Al-Ahli,Al-Fayha,Al-Ahli_vs_Al-Fayha_18/04/2025,Partida Encerrada,,5.0,0.0,Al-Ahli x Al-Fayha,18/04/2025 13:20:00,18/04/2025,17,2,5,1,6,1,5,4,2,2,2,0,16,10,0,1
Arábia saudita,Liga Saudita,2024/2025,RODADA 26,05/04/2025,15:00,Al-Ahli,Al-Ittihad,Al-Ahli_vs_Al-Ittihad_05/04/2025,Partida Encerrada,,2.0,2.0,Al-Ahli x Al-Ittihad,05/04/2025 15:00:00,05/04/2025,13,6,7,2,4,3,6,1,4,2,3,1,18,13,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 24,07/03/2025,16:00,Al-Ahli,Al-Khaleej,Al-Ahli_vs_Al-Khaleej_07/03/2025,Partida Encerrada,,2.0,2.0,Al-Ahli x Al-Khaleej,07/03/2025 16:00:00,07/03/2025,16,7,5,3,2,1,2,2,3,2,0,3,17,6,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 32,17/05/2025,15:00,Al-Ahli,Al-Kholood,Al-Ahli_vs_Al-Kholood_17/05/2025,Partida Encerrada,,4.0,1.0,Al-Ahli x Al-Kholood,17/05/2025 15:00:00,17/05/2025,17,10,7,3,6,1,2,1,2,4,0,1,12,8,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 22,25/02/2025,14:30,Al-Ahli,Al-Qadisiya,Al-Ahli_vs_Al-Qadisiya_25/02/2025,Partida Encerrada,,4.0,1.0,Al-Ahli x Al-Qadisiya,25/02/2025 14:30:00,25/02/2025,10,9,7,5,4,3,1,8,,,3,0,17,14,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 30,07/05/2025,13:25,Al-Ahli,Al-Taawon,Al-Ahli_vs_Al-Taawon_07/05/2025,Partida Encerrada,,2.0,0.0,Al-Ahli x Al-Taawon,07/05/2025 13:25:00,07/05/2025,8,10,7,2,6,0,4,3,2,3,1,0,16,16,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 20,13/02/2025,14:30,Al-Ahli,Al Nassr Riyadh,Al-Ahli_vs_Al_Nassr_Riyadh_13/02/2025,Partida Encerrada,,2.0,3.0,Al-Ahli x Al Nassr Riyadh,13/02/2025 14:30:00,13/02/2025,18,12,10,6,5,2,5,5,3,2,6,0,14,9,0,1
Arábia saudita,Liga Saudita,2024/2025,RODADA 20,14/02/2025,12:05,Al-Ettifaq,Al-Fateh,Al-Ettifaq_vs_Al-Fateh_14/02/2025,Partida Encerrada,,1.0,2.0,Al-Ettifaq x Al-Fateh,14/02/2025 12:05:00,14/02/2025,11,12,5,5,2,2,1,6,2,2,3,3,6,18,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 25,15/03/2025,16:00,Al-Ettifaq,Al-Fayha,Al-Ettifaq_vs_Al-Fayha_15/03/2025,Partida Encerrada,,0.0,2.0,Al-Ettifaq x Al-Fayha,15/03/2025 16:00:00,15/03/2025,22,7,6,2,0,3,8,5,3,3,2,0,11,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 27,11/04/2025,15:00,Al-Ettifaq,Al-Hilal,Al-Ettifaq_vs_Al-Hilal_11/04/2025,Partida Encerrada,,1.0,1.0,Al-Ettifaq x Al-Hilal,11/04/2025 15:00:00,11/04/2025,11,15,3,6,0,3,6,9,3,2,3,6,14,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 30,02/05/2025,12:50,Al-Ettifaq,Al-Khaleej,Al-Ettifaq_vs_Al-Khaleej_02/05/2025,Partida Encerrada,,2.0,1.0,Al-Ettifaq x Al-Khaleej,02/05/2025 12:50:00,02/05/2025,19,12,8,6,4,1,2,3,2,2,1,1,12,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 28,17/04/2025,12:40,Al-Ettifaq,Al-Riyadh,Al-Ettifaq_vs_Al-Riyadh_17/04/2025,Partida Encerrada,,1.0,0.0,Al-Ettifaq x Al-Riyadh,17/04/2025 12:40:00,17/04/2025,9,14,6,2,2,0,1,7,3,2,5,3,12,9,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 18,31/01/2025,14:00,Al-Ettifaq,Al-Shabab,Al-Ettifaq_vs_Al-Shabab_31/01/2025,Partida Encerrada,,3.0,1.0,Al-Ettifaq x Al-Shabab,31/01/2025 14:00:00,31/01/2025,10,30,7,10,5,6,4,6,2,0,0,4,12,7,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 22,26/02/2025,12:15,Al-Ettifaq,Al-Taawon,Al-Ettifaq_vs_Al-Taawon_26/02/2025,Partida Encerrada,,1.0,0.0,Al-Ettifaq x Al-Taawon,26/02/2025 12:15:00,26/02/2025,9,6,2,3,1,1,3,4,1,2,1,6,9,8,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 34,26/05/2025,15:00,Al-Ettifaq,Al Wehda,Al-Ettifaq_vs_Al_Wehda_26/05/2025,Partida Encerrada,,2.0,1.0,Al-Ettifaq x Al Wehda,26/05/2025 15:00:00,26/05/2025,12,20,4,5,2,0,1,8,0,1,1,5,6,8,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 32,17/05/2025,12:55,Al-Ettifaq,Damac,Al-Ettifaq_vs_Damac_17/05/2025,Partida Encerrada,,0.0,0.0,Al-Ettifaq x Damac,17/05/2025 12:55:00,17/05/2025,11,10,5,3,2,0,7,2,0,1,0,4,15,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 32,16/05/2025,12:55,Al-Fateh,Al-Hilal,Al-Fateh_vs_Al-Hilal_16/05/2025,Partida Encerrada,,3.0,4.0,Al-Fateh x Al-Hilal,16/05/2025 12:55:00,16/05/2025,19,30,6,13,3,4,7,9,4,2,2,2,10,8,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 28,17/04/2025,15:00,Al-Fateh,Al-Ittihad,Al-Fateh_vs_Al-Ittihad_17/04/2025,Partida Encerrada,,2.0,0.0,Al-Fateh x Al-Ittihad,17/04/2025 15:00:00,17/04/2025,18,12,5,5,3,2,3,7,2,1,2,4,18,10,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 21,20/02/2025,12:15,Al-Fateh,Al-Orubah,Al-Fateh_vs_Al-Orubah_20/02/2025,Partida Encerrada,,1.0,0.0,Al-Fateh x Al-Orubah,20/02/2025 12:15:00,20/02/2025,18,14,5,4,2,0,5,7,3,4,0,0,19,7,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 18,01/02/2025,12:00,Al-Fateh,Al-Qadisiya,Al-Fateh_vs_Al-Qadisiya_01/02/2025,Partida Encerrada,,1.0,1.0,Al-Fateh x Al-Qadisiya,01/02/2025 12:00:00,01/02/2025,10,17,2,8,1,5,6,6,1,0,3,0,15,11,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 25,13/03/2025,16:00,Al-Fateh,Al-Raed,Al-Fateh_vs_Al-Raed_13/03/2025,Partida Encerrada,,3.0,1.0,Al-Fateh x Al-Raed,13/03/2025 16:00:00,13/03/2025,14,14,6,4,4,0,4,9,2,1,1,1,14,8,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 30,01/05/2025,15:00,Al-Fateh,Al-Shabab,Al-Fateh_vs_Al-Shabab_01/05/2025,Partida Encerrada,,3.0,1.0,Al-Fateh x Al-Shabab,01/05/2025 15:00:00,01/05/2025,13,16,6,3,3,1,5,12,3,3,1,0,14,9,0,1
Arábia saudita,Liga Saudita,2024/2025,RODADA 23,01/03/2025,16:00,Al-Fateh,Al-Taawon,Al-Fateh_vs_Al-Taawon_01/03/2025,Partida Encerrada,,1.0,2.0,Al-Fateh x Al-Taawon,01/03/2025 16:00:00,01/03/2025,23,11,8,5,3,0,6,4,3,4,1,4,21,18,1,0
Arábia saudita,Liga Saudita,2024/2025,RODADA 34,26/05/2025,15:00,Al-Fateh,Al Nassr Riyadh,Al-Fateh_vs_Al_Nassr_Riyadh_26/05/2025,Partida Encerrada,,3.0,2.0,Al-Fateh x Al Nassr Riyadh,26/05/2025 15:00:00,26/05/2025,13,17,6,7,2,3,8,6,4,3,0,1,14,18,,
