Campeonato,Confronto,Periodo,DataHora,Gols Mandante (média),Gols Sofridos Mandante (média),Gols Visitante (média),Gols Sofridos Visitante (média),Gols Esperados Mandante,Gols Esperados Visitante,Prob Vitória Mandante (%),Prob Empate (%),Prob Vitória Visitante (%),Prob Ambos Marcam (BTTS) (%),Prob +1.5 Gols (%),Prob +2.5 Gols (%),Prob +3.5 Gols (%)
LaLiga,Sevilla x Las Palmas,Últimos 15 dias,2025-05-13 16:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Dep. Tachira (Ven) x Central Córdoba (Arg),Últimos 15 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Universidad de Chile (Chi) x Carabobo (Ven),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Sporting Cristal (Per) x Cerro Porteno (Par),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Fortaleza (Bra) x Bucaramanga (Col),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Europa,Tottenham x Manchester Utd,Últimos 15 dias,2025-05-21 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Portugal,Famalicão x Casa Pia,Últimos 15 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Portugal,Rio Ave x Gil Vicente,Últimos 15 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Saudita,Al-Hilal x Al-Orubah,Últimos 15 dias,2025-05-12 13:05:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Saudita,Al Okhdood x Al Nassr Riyadh,Últimos 15 dias,2025-05-12 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ligue 1,Dunkerque x Guingamp,Últimos 15 dias,2025-05-14 15:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premier League,Aston Villa x Tottenham,Últimos 15 dias,2025-05-16 15:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premier League,Chelsea x Manchester Utd,Últimos 15 dias,2025-05-16 16:15:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Venezia x Fiorentina,Últimos 15 dias,2025-05-12 13:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Atalanta x AS Roma,Últimos 15 dias,2025-05-12 15:45:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
